id,pid,name,description,unit,time,score,error,uncertainty,feature_id,metric_id,observation_id
64,1f81f1a8-0556-42ad-aa5f-91f0027a91c8,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,8382.603152551026,N/A,0,38,1,1
65,e87fea31-1feb-4268-94a0-906c3f8d9d4d,jensenshannon,"",percent,2012-04-09 00:00:00+00,0.05564983431368077,N/A,0,39,2,1
66,523b3991-82e2-48a4-96e0-40fbdd7e4b5f,jensenshannon,"",percent,2012-04-09 00:00:00+00,0.20959328470106772,N/A,0,41,2,1
67,7e27ee79-45b8-4dbb-a5ff-afbc639e01e0,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.6337875000000002,N/A,0,42,1,1
68,1b49d0a6-febb-4bc0-8a91-d786ab0b0973,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.4403316326530608,N/A,0,43,1,1
69,b64236ab-14cf-484d-8bbc-902ac13448cc,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.003137755102040729,N/A,0,44,1,1
70,3ef30cc0-d8af-4599-86cc-4975ca857b37,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,1472.324719387756,N/A,0,45,1,1
71,2e559dd3-2859-4e96-a45d-29f4922b08c8,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,2.010683673469387,N/A,0,46,1,1
72,4f5a4543-5854-48b9-84d8-d918571e5225,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,1.9763265306122448,N/A,0,47,1,1
73,95b50657-1fc7-4ed4-ac4d-25fcac087d8f,jensenshannon,"",percent,2012-04-09 00:00:00+00,0,N/A,0,48,2,1
74,41a24821-9621-4e1f-bc15-08dc00180c9f,jensenshannon,"",percent,2012-04-09 00:00:00+00,0,N/A,0,49,2,1
75,aa036c9b-93e3-4aa1-9cd0-e6fa46b7284e,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.1409438775510201,N/A,0,50,1,1
76,8d188ab7-5903-4b23-830b-72d76046f6e1,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.0006377551020407823,N/A,0,51,1,1
77,355c69b8-b913-435b-8ac8-aae5b7dc606e,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,6.917474489795921,N/A,0,52,1,1
78,a37938b2-61a5-4c6b-bc49-13293d4a03bb,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.77375,N/A,0,53,1,1
79,f8e005dc-1269-40ea-ac7a-fed5a20cedc5,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.01316713593662136,N/A,0,54,1,1
80,6b1deacc-41d1-4003-82d6-c32cf43d59be,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.04165192838371451,N/A,0,55,1,1
81,d625bdcb-84ce-4e4d-86a7-11eb887ea93d,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,15.610739795918363,N/A,0,56,1,1
82,fe8d3eef-cca8-4895-9ad0-60d5dab2addb,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,3.2195421543357376e-05,N/A,0,57,1,1
83,7abb72ce-c55f-4547-9198-eea7bb5ab4d3,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,2.381903606404415e-05,N/A,0,58,1,1
84,b1a0ac3a-4a21-4e96-b82d-912edfaf1412,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.0037755102040815114,N/A,0,59,1,1
85,37e42a61-8cdc-4ea7-b3cd-9a86910c62e3,wasserstein_distance,"",percent,2012-04-10 00:00:00+00,636.9955357142856,N/A,0,31,1,1
